character,event_summary,paragraph_num,book_num,book_title
Harry,"Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn’t see him laughing.",43,2,Harry Potter And The Chamber Of Secrets
Mason,"When dinner’s over, you take Mrs. Mason back to the lounge for coffee, Petunia, and I’ll bring the subject around to drills.",46,2,Harry Potter And The Chamber Of Secrets
Dursleys,He didn’t think the Dursleys would like him any better in Majorca than they did on Privet Drive.,47,2,Harry Potter And The Chamber Of Secrets
Harry,"And you,” he snarled at Harry.",48,2,Harry Potter And The Chamber Of Secrets
Harry,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",51,2,Harry Potter And The Chamber Of Secrets
Ron,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",51,2,Harry Potter And The Chamber Of Secrets
Hogwarts,What wouldn’t he give now for a message from Hogwarts?,52,2,Harry Potter And The Chamber Of Secrets
Hogwarts,Not that his whole year at Hogwarts had been fun.,53,2,Harry Potter And The Chamber Of Secrets
Harry,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",53,2,Harry Potter And The Chamber Of Secrets
Voldemort,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",53,2,Harry Potter And The Chamber Of Secrets
Harry,Harry jumped to his feet just as a jeering voice floated across the lawn.,55,2,Harry Potter And The Chamber Of Secrets
Dudley,"“Today’s your birthday,” sneered Dudley.",60,2,Harry Potter And The Chamber Of Secrets
Harry,"“Better not let your mum hear you talking about my school,” said Harry coolly.",61,2,Harry Potter And The Chamber Of Secrets
Harry,"“I’m trying to decide what would be the best spell to set it on fire,” said Harry.",64,2,Harry Potter And The Chamber Of Secrets
Dudley,"“MUUUUUUM!” howled Dudley, tripping over his feet as he dashed back toward the house.",68,2,Harry Potter And The Chamber Of Secrets
Harry,Harry paid dearly for his moment of fun.,69,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry, trying to say “Shh!” and look comforting at the same time, ushered Dobby back onto the bed where he sat hiccoughing, looking like a large and very ugly doll.",93,2,Harry Potter And The Chamber Of Secrets
Dobby,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",98,2,Harry Potter And The Chamber Of Secrets
Sir.,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",98,2,Harry Potter And The Chamber Of Secrets
Dobby,"Dobby is always having to punish himself for something, sir.",101,2,Harry Potter And The Chamber Of Secrets
Dursleys,“This makes the Dursleys sound almost human.,103,2,Harry Potter And The Chamber Of Secrets
Harry,"“Please,” Harry whispered frantically, “please be quiet.",105,2,Harry Potter And The Chamber Of Secrets
Dursleys,"If the Dursleys hear anything, if they know you’re here —”",105,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry, who was feeling distinctly hot in the face, said, “Whatever you’ve heard about my greatness is a load of rubbish.",107,2,Harry Potter And The Chamber Of Secrets
Hermione,"But he stopped quickly, because thinking about Hermione was painful.",108,2,Harry Potter And The Chamber Of Secrets
Ron,"Thinking about Ron was painful, too.",112,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"“Dobby heard tell,” he said hoarsely, “that Harry Potter met the Dark Lord for a second time just weeks ago…that Harry Potter escaped yet again.”",114,2,Harry Potter And The Chamber Of Secrets
Harry,Harry nodded and Dobby’s eyes suddenly shone with tears.,115,2,Harry Potter And The Chamber Of Secrets
Harry Potter,“Harry Potter is valiant and bold!,116,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon’S,There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon’s voice.,117,2,Harry Potter And The Chamber Of Secrets
Harry Potter,“Harry Potter must stay where he is safe.,119,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",119,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",119,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"“There is a plot, Harry Potter.",120,2,Harry Potter And The Chamber Of Secrets
Harry Potter,Harry Potter must not put himself in peril.,120,2,Harry Potter And The Chamber Of Secrets
Harry,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",125,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",125,2,Harry Potter And The Chamber Of Secrets
Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",125,2,Harry Potter And The Chamber Of Secrets
’S Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",125,2,Harry Potter And The Chamber Of Secrets
Hogwarts,“Albus Dumbledore is the greatest headmaster Hogwarts has ever had.,126,2,Harry Potter And The Chamber Of Secrets
Dumbledore,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,126,2,Harry Potter And The Chamber Of Secrets
Dobby,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,126,2,Harry Potter And The Chamber Of Secrets
Harry,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",128,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",128,2,Harry Potter And The Chamber Of Secrets
Dudley,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",128,2,Harry Potter And The Chamber Of Secrets
Hogwarts,“See why I’ve got to go back to Hogwarts?,131,2,Harry Potter And The Chamber Of Secrets
Harry Potter,“Harry Potter mustn’t be angry with Dobby.,134,2,Harry Potter And The Chamber Of Secrets
Dobby,Dobby did it for the best —”,134,2,Harry Potter And The Chamber Of Secrets
Dobby,"He made a grab for the letters, but Dobby jumped out of reach.",137,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",138,2,Harry Potter And The Chamber Of Secrets
Dobby,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",138,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",138,2,Harry Potter And The Chamber Of Secrets
Harry,"Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and sprinted down the stairs.",141,2,Harry Potter And The Chamber Of Secrets
Harry,Harry ran up the hall into the kitchen and felt his stomach disappear.,143,2,Harry Potter And The Chamber Of Secrets
Harry Potter,“Harry Potter must say he’s not going back to school —”,145,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"“Then Dobby must do it, sir, for Harry Potter’s own good.”",146,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"At first, it looked as though Uncle Vernon would manage to gloss the whole thing over.",149,2,Harry Potter And The Chamber Of Secrets
Harry,"Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking, started scrubbing the kitchen clean.",149,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,Uncle Vernon might still have been able to make his deal — if it hadn’t been for the owl.,150,2,Harry Potter And The Chamber Of Secrets
Mason,Mrs. Mason screamed like a banshee and ran from the house shouting about lunatics.,151,2,Harry Potter And The Chamber Of Secrets
Harry,"He was bearing down on Harry like a great bulldog, all his teeth bared.",159,2,Harry Potter And The Chamber Of Secrets
Harry,"And laughing like a maniac, he dragged Harry back upstairs.",160,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,Uncle Vernon was as bad as his word.,161,2,Harry Potter And The Chamber Of Secrets
Harry,They let Harry out to use the bathroom morning and evening.,161,2,Harry Potter And The Chamber Of Secrets
Harry,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",162,2,Harry Potter And The Chamber Of Secrets
Dursleys,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",162,2,Harry Potter And The Chamber Of Secrets
Hogwarts,What was the good of magicking himself out of his room if Hogwarts would expel him for doing it?,163,2,Harry Potter And The Chamber Of Secrets
Dursleys,"Now that the Dursleys knew they weren’t going to wake up as fruit bats, he had lost his only weapon.",163,2,Harry Potter And The Chamber Of Secrets
Harry,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",163,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",163,2,Harry Potter And The Chamber Of Secrets
Harry,"“It’s no good turning your beak up at it — that’s all we’ve got,” said Harry grimly.",165,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"Supposing he was still alive in another four weeks, hat would happen if he didn’t turn up at Hogwarts?",167,2,Harry Potter And The Chamber Of Secrets
Dursleys,Would they be able to make the Dursleys let him go?,167,2,Harry Potter And The Chamber Of Secrets
Ron,“What’s been going on?” said Ron.,174,2,Harry Potter And The Chamber Of Secrets
Dad,"I’ve asked you to stay about twelve times, and then Dad came home and said you’d got an official warning for using magic in front of Muggles —”",174,2,Harry Potter And The Chamber Of Secrets
Ron,"“He works for the Ministry,” said Ron.",175,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry moved back into the shadows next to Hedwig, who seemed to have realized how important this was and kept still and silent.",183,2,Harry Potter And The Chamber Of Secrets
Fred,"The car revved louder and louder and suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred drove straight up in the air.",183,2,Harry Potter And The Chamber Of Secrets
Fred,"“A lot of wizards think it’s a waste of time, knowing this sort of Muggle trick,” said Fred, “but we feel they’re skills worth learning, even if they are a bit slow.”",189,2,Harry Potter And The Chamber Of Secrets
Harry,"“Watch out for the bottom stair — it creaks,” Harry whispered back as the twins disappeared onto the dark landing.",191,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,Harry heard Uncle Vernon cough.,192,2,Harry Potter And The Chamber Of Secrets
Fred,"“Put your foot down, Fred!”",202,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry told them all about Dobby, the warning he’d given Harry and the fiasco of the violet pudding.",208,2,Harry Potter And The Chamber Of Secrets
George,“Definitely dodgy” agreed George.,209,2,Harry Potter And The Chamber Of Secrets
Fred,"“Well,” said Fred, “put it this way — house-elves have got powerful magic of their own, but they can’t usually use it without their master’s permission.",211,2,Harry Potter And The Chamber Of Secrets
Dobby,I reckon old Dobby was sent to stop you coming back to Hogwarts.,211,2,Harry Potter And The Chamber Of Secrets
Hogwarts,I reckon old Dobby was sent to stop you coming back to Hogwarts.,211,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",216,2,Harry Potter And The Chamber Of Secrets
Malfoy,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",216,2,Harry Potter And The Chamber Of Secrets
Malfoy,"Judging by the fact that Draco Malfoy usually had the best of everything, his family was rolling in wizard gold; he could just see Malfoy strutting around a large manor house.",220,2,Harry Potter And The Chamber Of Secrets
Harry,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,220,2,Harry Potter And The Chamber Of Secrets
Hogwarts,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,220,2,Harry Potter And The Chamber Of Secrets
Malfoy,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,220,2,Harry Potter And The Chamber Of Secrets
Harry,Had Harry been stupid to take Dobby seriously?,220,2,Harry Potter And The Chamber Of Secrets
Dobby,Had Harry been stupid to take Dobby seriously?,220,2,Harry Potter And The Chamber Of Secrets
Harry,"“So, does your dad know you’ve got the car?” said Harry, guessing the answer.",226,2,Harry Potter And The Chamber Of Secrets
Ron,"“Er, no,” said Ron, “he had to work tonight.",227,2,Harry Potter And The Chamber Of Secrets
Mum,Hopefully we’ll be able to get it back in the garage without Mum noticing we flew it.”,227,2,Harry Potter And The Chamber Of Secrets
Ron,"“He works in the most boring department,” said Ron.",229,2,Harry Potter And The Chamber Of Secrets
Dad,It was a nightmare — Dad was working overtime for weeks.”,230,2,Harry Potter And The Chamber Of Secrets
George,"“That’s the main road,” said George, peering down through the windshield.",233,2,Harry Potter And The Chamber Of Secrets
Harry,"Fred brought the car lower, and Harry saw a dark patchwork of fields and clumps of trees.",235,2,Harry Potter And The Chamber Of Secrets
Weasley,"Mrs. Weasley was marching across the yard, scattering chickens, and for a short, plump, kind-faced woman, it was remarkable how much she looked like a saber-toothed tiger.",244,2,Harry Potter And The Chamber Of Secrets
Mum,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",246,2,Harry Potter And The Chamber Of Secrets
George,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",246,2,Harry Potter And The Chamber Of Secrets
Weasley,“Have you any idea how worried I’ve been?” said Mrs. Weasley in a deadly whisper.,247,2,Harry Potter And The Chamber Of Secrets
Weasley,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",250,2,Harry Potter And The Chamber Of Secrets
Percy,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",250,2,Harry Potter And The Chamber Of Secrets
Harry,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",251,2,Harry Potter And The Chamber Of Secrets
Weasley,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",251,2,Harry Potter And The Chamber Of Secrets
Ron,Just last night we were saying we’d come and get you ourselves if you hadn’t written back to Ron by Friday.,257,2,Harry Potter And The Chamber Of Secrets
Lockhart’S,"“Now, let’s see what Lockhart’s got to say on the subject —”",268,2,Harry Potter And The Chamber Of Secrets
Gilderoy Lockhart’S Guide,Written across it in fancy gold letters were the words Gilderoy Lockhart’s Guide to Household Pests.,270,2,Harry Potter And The Chamber Of Secrets
Harry,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",270,2,Harry Potter And The Chamber Of Secrets
Gilderoy Lockhart,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",270,2,Harry Potter And The Chamber Of Secrets
Weasley,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",273,2,Harry Potter And The Chamber Of Secrets
Fred,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",273,2,Harry Potter And The Chamber Of Secrets
Harry,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",274,2,Harry Potter And The Chamber Of Secrets
Weasleys,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",274,2,Harry Potter And The Chamber Of Secrets
Harry,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",274,2,Harry Potter And The Chamber Of Secrets
Dursleys,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",274,2,Harry Potter And The Chamber Of Secrets
Harry,Harry learned quickly not to feel too sorry for the gnomes.,282,2,Harry Potter And The Chamber Of Secrets
George,"“See, they’re not too bright,” said George, seizing five or six gnomes at once.",283,2,Harry Potter And The Chamber Of Secrets
Mundungus Fletcher,And old Mundungus Fletcher tried to put a hex on me when I had my back turned.…”,288,2,Harry Potter And The Chamber Of Secrets
Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",295,2,Harry Potter And The Chamber Of Secrets
Arthur Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",295,2,Harry Potter And The Chamber Of Secrets
Harry,"And for your information, Harry arrived this morning in the car you weren’t intending to fly!”",295,2,Harry Potter And The Chamber Of Secrets
Weasley,"I mean,” he faltered as sparks flew from Mrs. Weasley’s eyes, “that — that was very wrong, boys — very wrong indeed.",298,2,Harry Potter And The Chamber Of Secrets
Ronald,"They climbed two more flights until they reached a door with peeling paint and a small plaque on it, saying RONALD’S ROOM .",302,2,Harry Potter And The Chamber Of Secrets
Martin Miggs,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",305,2,Harry Potter And The Chamber Of Secrets
Ron’S,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",305,2,Harry Potter And The Chamber Of Secrets
Ron,"“It’s a bit small,” said Ron quickly.",307,2,Harry Potter And The Chamber Of Secrets
Burrow,L ife at the Burrow was as different as possible from life on Privet Drive.,309,2,Harry Potter And The Chamber Of Secrets
Weasley,Mrs. Weasley fussed over the state of his socks and tried to force him to eat fourth helpings at every meal.,310,2,Harry Potter And The Chamber Of Secrets
Harry,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",310,2,Harry Potter And The Chamber Of Secrets
Weasley,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",310,2,Harry Potter And The Chamber Of Secrets
Harry,he would say as Harry talked him through using a telephone.,311,2,Harry Potter And The Chamber Of Secrets
Harry,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,312,2,Harry Potter And The Chamber Of Secrets
Hogwarts,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,312,2,Harry Potter And The Chamber Of Secrets
Ginny,Ginny seemed very prone to knocking things over whenever Harry entered a room.,312,2,Harry Potter And The Chamber Of Secrets
Harry,Ginny seemed very prone to knocking things over whenever Harry entered a room.,312,2,Harry Potter And The Chamber Of Secrets
Harry,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",313,2,Harry Potter And The Chamber Of Secrets
Dumbledore,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",313,2,Harry Potter And The Chamber Of Secrets
The Hogwarts Express,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,314,2,Harry Potter And The Chamber Of Secrets
Harry’S,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,314,2,Harry Potter And The Chamber Of Secrets
Ginny,“I expect we’ll be able to pick up a lot of Ginny’s things secondhand.”,320,2,Harry Potter And The Chamber Of Secrets
Harry,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",326,2,Harry Potter And The Chamber Of Secrets
Ron,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",326,2,Harry Potter And The Chamber Of Secrets
Weasleys,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",330,2,Harry Potter And The Chamber Of Secrets
"Harry, Ron, Fred","Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",330,2,Harry Potter And The Chamber Of Secrets
George,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",330,2,Harry Potter And The Chamber Of Secrets
Quidditch,"It was surrounded by trees that blocked it from view of the village below, meaning that they could practice Quidditch there, as long as they didn’t fly too high.",330,2,Harry Potter And The Chamber Of Secrets
Ron’S,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",331,2,Harry Potter And The Chamber Of Secrets
Shooting Star,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",331,2,Harry Potter And The Chamber Of Secrets
Harry’S Nimbus,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",331,2,Harry Potter And The Chamber Of Secrets
Head Boy,"If we’re not careful, we’ll have another Head Boy in the family.",334,2,Harry Potter And The Chamber Of Secrets
Bill,Bill was the oldest Weasley brother.,335,2,Harry Potter And The Chamber Of Secrets
Hogwarts,"He and the next brother, Charlie, had already left Hogwarts.",335,2,Harry Potter And The Chamber Of Secrets
Charlie,"He and the next brother, Charlie, had already left Hogwarts.",335,2,Harry Potter And The Chamber Of Secrets
Harry,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",335,2,Harry Potter And The Chamber Of Secrets
Gringotts,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",335,2,Harry Potter And The Chamber Of Secrets
Charlie,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",335,2,Harry Potter And The Chamber Of Secrets
Bill,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",335,2,Harry Potter And The Chamber Of Secrets
Gringotts,Stored in an underground vault at Gringotts in London was a small fortune that his parents had left him.,337,2,Harry Potter And The Chamber Of Secrets
Knuts,"Of course, it was only in the wizarding world that he had money; you couldn’t use Galleons, Sickles, and Knuts in Muggle shops.",337,2,Harry Potter And The Chamber Of Secrets
Weasley,Mrs. Weasley woke them all early the following Wednesday.,338,2,Harry Potter And The Chamber Of Secrets
Arthur,"“We’re running low, Arthur,” she sighed.",339,2,Harry Potter And The Chamber Of Secrets
Floo,"“Floo powder’s a lot quicker, dear, but goodness me, if you’ve never used it before —”",343,2,Harry Potter And The Chamber Of Secrets
Dudley,"“Dudley would think it was a brilliant joke if I got lost up a chimney, don’t worry about that —”",352,2,Harry Potter And The Chamber Of Secrets
Fred,“But don’t panic and get out too early; wait until you see Fred and George.”,356,2,Harry Potter And The Chamber Of Secrets
George,“But don’t panic and get out too early; wait until you see Fred and George.”,356,2,Harry Potter And The Chamber Of Secrets
Harry,"Trying hard to bear all this in mind, Harry took a pinch of Floo powder and walked to the edge of the fire.",357,2,Harry Potter And The Chamber Of Secrets
Floo,"Trying hard to bear all this in mind, Harry took a pinch of Floo powder and walked to the edge of the fire.",357,2,Harry Potter And The Chamber Of Secrets
Harry,"Even worse, the dark, narrow street Harry could see through the dusty shop window was definitely not Diagon Alley.",361,2,Harry Potter And The Chamber Of Secrets
Malfoy,"Seconds later, a bell clanged, and Malfoy stepped into the shop.",363,2,Harry Potter And The Chamber Of Secrets
Harry Potter,“Harry Potter got a Nimbus Two Thousand last year.,367,2,Harry Potter And The Chamber Of Secrets
Dumbledore,Special permission from Dumbledore so he could play for Gryffindor.,367,2,Harry Potter And The Chamber Of Secrets
Gryffindor,Special permission from Dumbledore so he could play for Gryffindor.,367,2,Harry Potter And The Chamber Of Secrets
Malfoy,Malfoy bent down to examine a shelf full of skulls.,368,2,Harry Potter And The Chamber Of Secrets
Malfoy,"The name Malfoy still commands a certain respect, yet the Ministry grows ever more meddlesome.",378,2,Harry Potter And The Chamber Of Secrets
Arthur Weasley,"There are rumors about a new Muggle Protection Act — no doubt that flea-bitten, Muggle-loving fool Arthur Weasley is behind it —”",378,2,Harry Potter And The Chamber Of Secrets
Malfoy,"“Though if his grades don’t pick up,” said Mr. Malfoy, more coldly still, “that may indeed be all he is fit for —”",384,2,Harry Potter And The Chamber Of Secrets
Malfoy,"“In that case, perhaps we can return to my list,” said Mr. Malfoy shortly.",391,2,Harry Potter And The Chamber Of Secrets
