character,event_summary,book,paragraph_num
Harry,"“So, does your dad know you’ve got the car?” said Harry, guessing the answer.",02 Harry Potter And The Chamber Of Secrets,226
Ron,"“Er, no,” said Ron, “he had to work tonight.",02 Harry Potter And The Chamber Of Secrets,227
Mum,Hopefully we’ll be able to get it back in the garage without Mum noticing we flew it.”,02 Harry Potter And The Chamber Of Secrets,227
Ron,"“He works in the most boring department,” said Ron.",02 Harry Potter And The Chamber Of Secrets,229
Dad,It was a nightmare — Dad was working overtime for weeks.”,02 Harry Potter And The Chamber Of Secrets,230
George,"“That’s the main road,” said George, peering down through the windshield.",02 Harry Potter And The Chamber Of Secrets,233
Harry,"Fred brought the car lower, and Harry saw a dark patchwork of fields and clumps of trees.",02 Harry Potter And The Chamber Of Secrets,235
Weasley,"Mrs. Weasley was marching across the yard, scattering chickens, and for a short, plump, kind-faced woman, it was remarkable how much she looked like a saber-toothed tiger.",02 Harry Potter And The Chamber Of Secrets,244
Mum,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",02 Harry Potter And The Chamber Of Secrets,246
George,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",02 Harry Potter And The Chamber Of Secrets,246
Weasley,“Have you any idea how worried I’ve been?” said Mrs. Weasley in a deadly whisper.,02 Harry Potter And The Chamber Of Secrets,247
Weasley,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",02 Harry Potter And The Chamber Of Secrets,250
PERCY,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",02 Harry Potter And The Chamber Of Secrets,250
Harry,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",02 Harry Potter And The Chamber Of Secrets,251
Weasley,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",02 Harry Potter And The Chamber Of Secrets,251
Ron,Just last night we were saying we’d come and get you ourselves if you hadn’t written back to Ron by Friday.,02 Harry Potter And The Chamber Of Secrets,257
Lockhart’s,"“Now, let’s see what Lockhart’s got to say on the subject —”",02 Harry Potter And The Chamber Of Secrets,268
Gilderoy Lockhart’s Guide,Written across it in fancy gold letters were the words Gilderoy Lockhart’s Guide to Household Pests.,02 Harry Potter And The Chamber Of Secrets,270
Harry,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",02 Harry Potter And The Chamber Of Secrets,270
Gilderoy Lockhart,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",02 Harry Potter And The Chamber Of Secrets,270
Weasley,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",02 Harry Potter And The Chamber Of Secrets,273
Fred,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",02 Harry Potter And The Chamber Of Secrets,273
Harry,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",02 Harry Potter And The Chamber Of Secrets,274
Weasleys,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",02 Harry Potter And The Chamber Of Secrets,274
Harry,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",02 Harry Potter And The Chamber Of Secrets,274
Dursleys,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",02 Harry Potter And The Chamber Of Secrets,274
Harry,Harry learned quickly not to feel too sorry for the gnomes.,02 Harry Potter And The Chamber Of Secrets,282
George,"“See, they’re not too bright,” said George, seizing five or six gnomes at once.",02 Harry Potter And The Chamber Of Secrets,283
Mundungus Fletcher,And old Mundungus Fletcher tried to put a hex on me when I had my back turned.…”,02 Harry Potter And The Chamber Of Secrets,288
Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",02 Harry Potter And The Chamber Of Secrets,295
Arthur Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",02 Harry Potter And The Chamber Of Secrets,295
Harry,"And for your information, Harry arrived this morning in the car you weren’t intending to fly!”",02 Harry Potter And The Chamber Of Secrets,295
Weasley,"I mean,” he faltered as sparks flew from Mrs. Weasley’s eyes, “that — that was very wrong, boys — very wrong indeed.",02 Harry Potter And The Chamber Of Secrets,298
RONALD,"They climbed two more flights until they reached a door with peeling paint and a small plaque on it, saying RONALD’S ROOM .",02 Harry Potter And The Chamber Of Secrets,302
Martin Miggs,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",02 Harry Potter And The Chamber Of Secrets,305
Ron’s,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",02 Harry Potter And The Chamber Of Secrets,305
Ron,"“It’s a bit small,” said Ron quickly.",02 Harry Potter And The Chamber Of Secrets,307
Burrow,L ife at the Burrow was as different as possible from life on Privet Drive.,02 Harry Potter And The Chamber Of Secrets,309
Weasley,Mrs. Weasley fussed over the state of his socks and tried to force him to eat fourth helpings at every meal.,02 Harry Potter And The Chamber Of Secrets,310
Harry,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",02 Harry Potter And The Chamber Of Secrets,310
Weasley,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",02 Harry Potter And The Chamber Of Secrets,310
Harry,he would say as Harry talked him through using a telephone.,02 Harry Potter And The Chamber Of Secrets,311
Harry,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,02 Harry Potter And The Chamber Of Secrets,312
Hogwarts,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,02 Harry Potter And The Chamber Of Secrets,312
Ginny,Ginny seemed very prone to knocking things over whenever Harry entered a room.,02 Harry Potter And The Chamber Of Secrets,312
Harry,Ginny seemed very prone to knocking things over whenever Harry entered a room.,02 Harry Potter And The Chamber Of Secrets,312
Harry,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",02 Harry Potter And The Chamber Of Secrets,313
Dumbledore,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",02 Harry Potter And The Chamber Of Secrets,313
the Hogwarts Express,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,02 Harry Potter And The Chamber Of Secrets,314
Harry’s,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,02 Harry Potter And The Chamber Of Secrets,314
Ginny,“I expect we’ll be able to pick up a lot of Ginny’s things secondhand.”,02 Harry Potter And The Chamber Of Secrets,320
Harry,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",02 Harry Potter And The Chamber Of Secrets,326
Ron,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",02 Harry Potter And The Chamber Of Secrets,326
Weasleys,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",02 Harry Potter And The Chamber Of Secrets,330
"Harry, Ron, Fred","Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",02 Harry Potter And The Chamber Of Secrets,330
George,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",02 Harry Potter And The Chamber Of Secrets,330
Quidditch,"It was surrounded by trees that blocked it from view of the village below, meaning that they could practice Quidditch there, as long as they didn’t fly too high.",02 Harry Potter And The Chamber Of Secrets,330
Ron’s,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",02 Harry Potter And The Chamber Of Secrets,331
Shooting Star,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",02 Harry Potter And The Chamber Of Secrets,331
Harry’s Nimbus,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",02 Harry Potter And The Chamber Of Secrets,331
Head Boy,"If we’re not careful, we’ll have another Head Boy in the family.",02 Harry Potter And The Chamber Of Secrets,334
Bill,Bill was the oldest Weasley brother.,02 Harry Potter And The Chamber Of Secrets,335
Hogwarts,"He and the next brother, Charlie, had already left Hogwarts.",02 Harry Potter And The Chamber Of Secrets,335
Charlie,"He and the next brother, Charlie, had already left Hogwarts.",02 Harry Potter And The Chamber Of Secrets,335
Harry,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",02 Harry Potter And The Chamber Of Secrets,335
Gringotts,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",02 Harry Potter And The Chamber Of Secrets,335
Charlie,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",02 Harry Potter And The Chamber Of Secrets,335
Bill,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",02 Harry Potter And The Chamber Of Secrets,335
Gringotts,Stored in an underground vault at Gringotts in London was a small fortune that his parents had left him.,02 Harry Potter And The Chamber Of Secrets,337
Knuts,"Of course, it was only in the wizarding world that he had money; you couldn’t use Galleons, Sickles, and Knuts in Muggle shops.",02 Harry Potter And The Chamber Of Secrets,337
Weasley,Mrs. Weasley woke them all early the following Wednesday.,02 Harry Potter And The Chamber Of Secrets,338
Arthur,"“We’re running low, Arthur,” she sighed.",02 Harry Potter And The Chamber Of Secrets,339
Floo,"“Floo powder’s a lot quicker, dear, but goodness me, if you’ve never used it before —”",02 Harry Potter And The Chamber Of Secrets,343
Dudley,"“Dudley would think it was a brilliant joke if I got lost up a chimney, don’t worry about that —”",02 Harry Potter And The Chamber Of Secrets,352
Fred,“But don’t panic and get out too early; wait until you see Fred and George.”,02 Harry Potter And The Chamber Of Secrets,356
George,“But don’t panic and get out too early; wait until you see Fred and George.”,02 Harry Potter And The Chamber Of Secrets,356
Harry,"Trying hard to bear all this in mind, Harry took a pinch of Floo powder and walked to the edge of the fire.",02 Harry Potter And The Chamber Of Secrets,357
Floo,"Trying hard to bear all this in mind, Harry took a pinch of Floo powder and walked to the edge of the fire.",02 Harry Potter And The Chamber Of Secrets,357
Harry,"Even worse, the dark, narrow street Harry could see through the dusty shop window was definitely not Diagon Alley.",02 Harry Potter And The Chamber Of Secrets,361
Malfoy,"Seconds later, a bell clanged, and Malfoy stepped into the shop.",02 Harry Potter And The Chamber Of Secrets,363
Harry Potter,“Harry Potter got a Nimbus Two Thousand last year.,02 Harry Potter And The Chamber Of Secrets,367
Dumbledore,Special permission from Dumbledore so he could play for Gryffindor.,02 Harry Potter And The Chamber Of Secrets,367
Gryffindor,Special permission from Dumbledore so he could play for Gryffindor.,02 Harry Potter And The Chamber Of Secrets,367
Malfoy,Malfoy bent down to examine a shelf full of skulls.,02 Harry Potter And The Chamber Of Secrets,368
Malfoy,"The name Malfoy still commands a certain respect, yet the Ministry grows ever more meddlesome.",02 Harry Potter And The Chamber Of Secrets,378
Arthur Weasley,"There are rumors about a new Muggle Protection Act — no doubt that flea-bitten, Muggle-loving fool Arthur Weasley is behind it —”",02 Harry Potter And The Chamber Of Secrets,378
Malfoy,"“Though if his grades don’t pick up,” said Mr. Malfoy, more coldly still, “that may indeed be all he is fit for —”",02 Harry Potter And The Chamber Of Secrets,384
Malfoy,"“In that case, perhaps we can return to my list,” said Mr. Malfoy shortly.",02 Harry Potter And The Chamber Of Secrets,391
Borgin,"“I am in something of a hurry, Borgin, I have important business elsewhere today —”",02 Harry Potter And The Chamber Of Secrets,391
