character,event_summary,book,paragraph_num,event_type,chapter_estimate
Dursleys,"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash that had killed his parents.",Harry Potter And The Chamber Of Secrets,24,unknown,1
Uncle Vernon,"At that moment, Uncle Vernon cleared his throat importantly and said, “Now, as we all know, today is a very important day.”",Harry Potter And The Chamber Of Secrets,27,unknown,1
Uncle Vernon,"“This could well be the day I make the biggest deal of my career,” said Uncle Vernon.",Harry Potter And The Chamber Of Secrets,28,unknown,1
Uncle Vernon,"“I think we should run through the schedule one more time,” said Uncle Vernon.",Harry Potter And The Chamber Of Secrets,30,unknown,1
Aunt Petunia,"“In the lounge,” said Aunt Petunia promptly, “waiting to welcome them graciously to our home.”",Harry Potter And The Chamber Of Secrets,31,unknown,1
Uncle Vernon,"“Exactly,” said Uncle Vernon nastily.",Harry Potter And The Chamber Of Secrets,36,unknown,1
Harry,"Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn’t see him laughing.",Harry Potter And The Chamber Of Secrets,43,unknown,1
Mason,"When dinner’s over, you take Mrs. Mason back to the lounge for coffee, Petunia, and I’ll bring the subject around to drills.",Harry Potter And The Chamber Of Secrets,46,unknown,1
Dursleys,He didn’t think the Dursleys would like him any better in Majorca than they did on Privet Drive.,Harry Potter And The Chamber Of Secrets,47,unknown,1
Harry,"And you,” he snarled at Harry.",Harry Potter And The Chamber Of Secrets,48,unknown,1
Harry,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",Harry Potter And The Chamber Of Secrets,51,unknown,1
Ron,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",Harry Potter And The Chamber Of Secrets,51,unknown,1
Hogwarts,What wouldn’t he give now for a message from Hogwarts?,Harry Potter And The Chamber Of Secrets,52,unknown,1
Hogwarts,Not that his whole year at Hogwarts had been fun.,Harry Potter And The Chamber Of Secrets,53,unknown,1
Harry,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",Harry Potter And The Chamber Of Secrets,53,unknown,1
Voldemort,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",Harry Potter And The Chamber Of Secrets,53,unknown,1
Harry,Harry jumped to his feet just as a jeering voice floated across the lawn.,Harry Potter And The Chamber Of Secrets,55,unknown,1
Dudley,"“Today’s your birthday,” sneered Dudley.",Harry Potter And The Chamber Of Secrets,60,unknown,1
Harry,"“Better not let your mum hear you talking about my school,” said Harry coolly.",Harry Potter And The Chamber Of Secrets,61,unknown,1
Harry,"“I’m trying to decide what would be the best spell to set it on fire,” said Harry.",Harry Potter And The Chamber Of Secrets,64,unknown,1
Dudley,"“MUUUUUUM!” howled Dudley, tripping over his feet as he dashed back toward the house.",Harry Potter And The Chamber Of Secrets,68,unknown,1
Harry,Harry paid dearly for his moment of fun.,Harry Potter And The Chamber Of Secrets,69,unknown,1
Harry,"Harry, trying to say “Shh!” and look comforting at the same time, ushered Dobby back onto the bed where he sat hiccoughing, looking like a large and very ugly doll.",Harry Potter And The Chamber Of Secrets,93,unknown,1
Dobby,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",Harry Potter And The Chamber Of Secrets,98,unknown,1
Sir.,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",Harry Potter And The Chamber Of Secrets,98,unknown,1
Dobby,"Dobby is always having to punish himself for something, sir.",Harry Potter And The Chamber Of Secrets,101,unknown,2
Dursleys,“This makes the Dursleys sound almost human.,Harry Potter And The Chamber Of Secrets,103,unknown,2
Harry,"“Please,” Harry whispered frantically, “please be quiet.",Harry Potter And The Chamber Of Secrets,105,unknown,2
Dursleys,"If the Dursleys hear anything, if they know you’re here —”",Harry Potter And The Chamber Of Secrets,105,unknown,2
Harry,"Harry, who was feeling distinctly hot in the face, said, “Whatever you’ve heard about my greatness is a load of rubbish.",Harry Potter And The Chamber Of Secrets,107,unknown,2
Hermione,"But he stopped quickly, because thinking about Hermione was painful.",Harry Potter And The Chamber Of Secrets,108,unknown,2
Ron,"Thinking about Ron was painful, too.",Harry Potter And The Chamber Of Secrets,112,unknown,2
Harry Potter,"“Dobby heard tell,” he said hoarsely, “that Harry Potter met the Dark Lord for a second time just weeks ago…that Harry Potter escaped yet again.”",Harry Potter And The Chamber Of Secrets,114,unknown,2
Harry,Harry nodded and Dobby’s eyes suddenly shone with tears.,Harry Potter And The Chamber Of Secrets,115,unknown,2
Harry Potter,“Harry Potter is valiant and bold!,Harry Potter And The Chamber Of Secrets,116,unknown,2
Uncle Vernon’S,There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon’s voice.,Harry Potter And The Chamber Of Secrets,117,unknown,2
Harry Potter,“Harry Potter must stay where he is safe.,Harry Potter And The Chamber Of Secrets,119,unknown,2
Harry Potter,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",Harry Potter And The Chamber Of Secrets,119,unknown,2
Hogwarts,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",Harry Potter And The Chamber Of Secrets,119,unknown,2
Harry Potter,"“There is a plot, Harry Potter.",Harry Potter And The Chamber Of Secrets,120,unknown,2
Harry Potter,Harry Potter must not put himself in peril.,Harry Potter And The Chamber Of Secrets,120,unknown,2
Harry,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",Harry Potter And The Chamber Of Secrets,125,unknown,2
Hogwarts,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",Harry Potter And The Chamber Of Secrets,125,unknown,2
Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",Harry Potter And The Chamber Of Secrets,125,unknown,2
’S Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",Harry Potter And The Chamber Of Secrets,125,unknown,2
Hogwarts,“Albus Dumbledore is the greatest headmaster Hogwarts has ever had.,Harry Potter And The Chamber Of Secrets,126,unknown,2
Dumbledore,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,Harry Potter And The Chamber Of Secrets,126,unknown,2
Dobby,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,Harry Potter And The Chamber Of Secrets,126,unknown,2
Harry,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,unknown,2
Uncle Vernon,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,unknown,2
Dudley,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,unknown,2
Hogwarts,“See why I’ve got to go back to Hogwarts?,Harry Potter And The Chamber Of Secrets,131,unknown,2
Harry Potter,“Harry Potter mustn’t be angry with Dobby.,Harry Potter And The Chamber Of Secrets,134,unknown,2
Dobby,Dobby did it for the best —”,Harry Potter And The Chamber Of Secrets,134,unknown,2
Dobby,"He made a grab for the letters, but Dobby jumped out of reach.",Harry Potter And The Chamber Of Secrets,137,unknown,2
Harry Potter,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,unknown,2
Dobby,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,unknown,2
Hogwarts,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,unknown,2
Harry,"Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and sprinted down the stairs.",Harry Potter And The Chamber Of Secrets,141,unknown,2
Harry,Harry ran up the hall into the kitchen and felt his stomach disappear.,Harry Potter And The Chamber Of Secrets,143,unknown,2
Harry Potter,“Harry Potter must say he’s not going back to school —”,Harry Potter And The Chamber Of Secrets,145,unknown,2
Harry Potter,"“Then Dobby must do it, sir, for Harry Potter’s own good.”",Harry Potter And The Chamber Of Secrets,146,unknown,2
Uncle Vernon,"At first, it looked as though Uncle Vernon would manage to gloss the whole thing over.",Harry Potter And The Chamber Of Secrets,149,unknown,2
Harry,"Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking, started scrubbing the kitchen clean.",Harry Potter And The Chamber Of Secrets,149,unknown,2
Uncle Vernon,Uncle Vernon might still have been able to make his deal — if it hadn’t been for the owl.,Harry Potter And The Chamber Of Secrets,150,unknown,2
Mason,Mrs. Mason screamed like a banshee and ran from the house shouting about lunatics.,Harry Potter And The Chamber Of Secrets,151,unknown,2
Harry,"He was bearing down on Harry like a great bulldog, all his teeth bared.",Harry Potter And The Chamber Of Secrets,159,unknown,2
Harry,"And laughing like a maniac, he dragged Harry back upstairs.",Harry Potter And The Chamber Of Secrets,160,unknown,2
Uncle Vernon,Uncle Vernon was as bad as his word.,Harry Potter And The Chamber Of Secrets,161,unknown,2
Harry,They let Harry out to use the bathroom morning and evening.,Harry Potter And The Chamber Of Secrets,161,unknown,2
Harry,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",Harry Potter And The Chamber Of Secrets,162,unknown,2
Dursleys,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",Harry Potter And The Chamber Of Secrets,162,unknown,2
Hogwarts,What was the good of magicking himself out of his room if Hogwarts would expel him for doing it?,Harry Potter And The Chamber Of Secrets,163,unknown,2
Dursleys,"Now that the Dursleys knew they weren’t going to wake up as fruit bats, he had lost his only weapon.",Harry Potter And The Chamber Of Secrets,163,unknown,2
Harry,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",Harry Potter And The Chamber Of Secrets,163,unknown,2
Hogwarts,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",Harry Potter And The Chamber Of Secrets,163,unknown,2
Harry,"“It’s no good turning your beak up at it — that’s all we’ve got,” said Harry grimly.",Harry Potter And The Chamber Of Secrets,165,unknown,2
Hogwarts,"Supposing he was still alive in another four weeks, hat would happen if he didn’t turn up at Hogwarts?",Harry Potter And The Chamber Of Secrets,167,unknown,2
Dursleys,Would they be able to make the Dursleys let him go?,Harry Potter And The Chamber Of Secrets,167,unknown,2
Ron,“What’s been going on?” said Ron.,Harry Potter And The Chamber Of Secrets,174,unknown,2
Dad,"I’ve asked you to stay about twelve times, and then Dad came home and said you’d got an official warning for using magic in front of Muggles —”",Harry Potter And The Chamber Of Secrets,174,unknown,2
Ron,"“He works for the Ministry,” said Ron.",Harry Potter And The Chamber Of Secrets,175,unknown,2
Harry,"Harry moved back into the shadows next to Hedwig, who seemed to have realized how important this was and kept still and silent.",Harry Potter And The Chamber Of Secrets,183,unknown,2
Fred,"The car revved louder and louder and suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred drove straight up in the air.",Harry Potter And The Chamber Of Secrets,183,unknown,2
Fred,"“A lot of wizards think it’s a waste of time, knowing this sort of Muggle trick,” said Fred, “but we feel they’re skills worth learning, even if they are a bit slow.”",Harry Potter And The Chamber Of Secrets,189,unknown,2
Harry,"“Watch out for the bottom stair — it creaks,” Harry whispered back as the twins disappeared onto the dark landing.",Harry Potter And The Chamber Of Secrets,191,unknown,2
Uncle Vernon,Harry heard Uncle Vernon cough.,Harry Potter And The Chamber Of Secrets,192,unknown,2
Fred,"“Put your foot down, Fred!”",Harry Potter And The Chamber Of Secrets,202,unknown,3
Harry,"Harry told them all about Dobby, the warning he’d given Harry and the fiasco of the violet pudding.",Harry Potter And The Chamber Of Secrets,208,unknown,3
George,“Definitely dodgy” agreed George.,Harry Potter And The Chamber Of Secrets,209,unknown,3
Fred,"“Well,” said Fred, “put it this way — house-elves have got powerful magic of their own, but they can’t usually use it without their master’s permission.",Harry Potter And The Chamber Of Secrets,211,unknown,3
Dobby,I reckon old Dobby was sent to stop you coming back to Hogwarts.,Harry Potter And The Chamber Of Secrets,211,unknown,3
Hogwarts,I reckon old Dobby was sent to stop you coming back to Hogwarts.,Harry Potter And The Chamber Of Secrets,211,unknown,3
Harry,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",Harry Potter And The Chamber Of Secrets,216,unknown,3
Malfoy,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",Harry Potter And The Chamber Of Secrets,216,unknown,3
Malfoy,"Judging by the fact that Draco Malfoy usually had the best of everything, his family was rolling in wizard gold; he could just see Malfoy strutting around a large manor house.",Harry Potter And The Chamber Of Secrets,220,unknown,3
Harry,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,unknown,3
Hogwarts,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,unknown,3
Malfoy,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,unknown,3
Harry,Had Harry been stupid to take Dobby seriously?,Harry Potter And The Chamber Of Secrets,220,unknown,3
Dobby,Had Harry been stupid to take Dobby seriously?,Harry Potter And The Chamber Of Secrets,220,unknown,3
Harry,"“So, does your dad know you’ve got the car?” said Harry, guessing the answer.",Harry Potter And The Chamber Of Secrets,226,unknown,3
Ron,"“Er, no,” said Ron, “he had to work tonight.",Harry Potter And The Chamber Of Secrets,227,unknown,3
Mum,Hopefully we’ll be able to get it back in the garage without Mum noticing we flew it.”,Harry Potter And The Chamber Of Secrets,227,unknown,3
Ron,"“He works in the most boring department,” said Ron.",Harry Potter And The Chamber Of Secrets,229,unknown,3
Dad,It was a nightmare — Dad was working overtime for weeks.”,Harry Potter And The Chamber Of Secrets,230,unknown,3
George,"“That’s the main road,” said George, peering down through the windshield.",Harry Potter And The Chamber Of Secrets,233,unknown,3
Harry,"Fred brought the car lower, and Harry saw a dark patchwork of fields and clumps of trees.",Harry Potter And The Chamber Of Secrets,235,unknown,3
Weasley,"Mrs. Weasley was marching across the yard, scattering chickens, and for a short, plump, kind-faced woman, it was remarkable how much she looked like a saber-toothed tiger.",Harry Potter And The Chamber Of Secrets,244,unknown,3
Mum,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",Harry Potter And The Chamber Of Secrets,246,unknown,3
George,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",Harry Potter And The Chamber Of Secrets,246,unknown,3
Weasley,“Have you any idea how worried I’ve been?” said Mrs. Weasley in a deadly whisper.,Harry Potter And The Chamber Of Secrets,247,unknown,3
Weasley,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",Harry Potter And The Chamber Of Secrets,250,unknown,3
Percy,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",Harry Potter And The Chamber Of Secrets,250,unknown,3
Harry,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",Harry Potter And The Chamber Of Secrets,251,unknown,3
Weasley,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",Harry Potter And The Chamber Of Secrets,251,unknown,3
Ron,Just last night we were saying we’d come and get you ourselves if you hadn’t written back to Ron by Friday.,Harry Potter And The Chamber Of Secrets,257,unknown,3
Lockhart’S,"“Now, let’s see what Lockhart’s got to say on the subject —”",Harry Potter And The Chamber Of Secrets,268,unknown,3
Gilderoy Lockhart’S Guide,Written across it in fancy gold letters were the words Gilderoy Lockhart’s Guide to Household Pests.,Harry Potter And The Chamber Of Secrets,270,unknown,3
Harry,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",Harry Potter And The Chamber Of Secrets,270,unknown,3
Gilderoy Lockhart,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",Harry Potter And The Chamber Of Secrets,270,unknown,3
Weasley,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",Harry Potter And The Chamber Of Secrets,273,unknown,3
Fred,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",Harry Potter And The Chamber Of Secrets,273,unknown,3
Harry,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",Harry Potter And The Chamber Of Secrets,274,unknown,3
Weasleys,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",Harry Potter And The Chamber Of Secrets,274,unknown,3
Harry,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",Harry Potter And The Chamber Of Secrets,274,unknown,3
Dursleys,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",Harry Potter And The Chamber Of Secrets,274,unknown,3
Harry,Harry learned quickly not to feel too sorry for the gnomes.,Harry Potter And The Chamber Of Secrets,282,unknown,3
George,"“See, they’re not too bright,” said George, seizing five or six gnomes at once.",Harry Potter And The Chamber Of Secrets,283,unknown,3
Mundungus Fletcher,And old Mundungus Fletcher tried to put a hex on me when I had my back turned.…”,Harry Potter And The Chamber Of Secrets,288,unknown,3
Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",Harry Potter And The Chamber Of Secrets,295,unknown,3
Arthur Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",Harry Potter And The Chamber Of Secrets,295,unknown,3
Harry,"And for your information, Harry arrived this morning in the car you weren’t intending to fly!”",Harry Potter And The Chamber Of Secrets,295,unknown,3
Weasley,"I mean,” he faltered as sparks flew from Mrs. Weasley’s eyes, “that — that was very wrong, boys — very wrong indeed.",Harry Potter And The Chamber Of Secrets,298,unknown,3
Ronald,"They climbed two more flights until they reached a door with peeling paint and a small plaque on it, saying RONALD’S ROOM .",Harry Potter And The Chamber Of Secrets,302,unknown,4
Martin Miggs,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",Harry Potter And The Chamber Of Secrets,305,unknown,4
Ron’S,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",Harry Potter And The Chamber Of Secrets,305,unknown,4
Ron,"“It’s a bit small,” said Ron quickly.",Harry Potter And The Chamber Of Secrets,307,unknown,4
Burrow,L ife at the Burrow was as different as possible from life on Privet Drive.,Harry Potter And The Chamber Of Secrets,309,unknown,4
Weasley,Mrs. Weasley fussed over the state of his socks and tried to force him to eat fourth helpings at every meal.,Harry Potter And The Chamber Of Secrets,310,unknown,4
Harry,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",Harry Potter And The Chamber Of Secrets,310,unknown,4
Weasley,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",Harry Potter And The Chamber Of Secrets,310,unknown,4
Harry,he would say as Harry talked him through using a telephone.,Harry Potter And The Chamber Of Secrets,311,unknown,4
Harry,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,Harry Potter And The Chamber Of Secrets,312,unknown,4
Hogwarts,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,Harry Potter And The Chamber Of Secrets,312,unknown,4
Ginny,Ginny seemed very prone to knocking things over whenever Harry entered a room.,Harry Potter And The Chamber Of Secrets,312,unknown,4
Harry,Ginny seemed very prone to knocking things over whenever Harry entered a room.,Harry Potter And The Chamber Of Secrets,312,unknown,4
Harry,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",Harry Potter And The Chamber Of Secrets,313,unknown,4
Dumbledore,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",Harry Potter And The Chamber Of Secrets,313,unknown,4
The Hogwarts Express,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,Harry Potter And The Chamber Of Secrets,314,unknown,4
Harry’S,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,Harry Potter And The Chamber Of Secrets,314,unknown,4
Ginny,“I expect we’ll be able to pick up a lot of Ginny’s things secondhand.”,Harry Potter And The Chamber Of Secrets,320,unknown,4
Harry,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",Harry Potter And The Chamber Of Secrets,326,unknown,4
Ron,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",Harry Potter And The Chamber Of Secrets,326,unknown,4
Weasleys,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",Harry Potter And The Chamber Of Secrets,330,unknown,4
"Harry, Ron, Fred","Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",Harry Potter And The Chamber Of Secrets,330,unknown,4
George,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",Harry Potter And The Chamber Of Secrets,330,unknown,4
Quidditch,"It was surrounded by trees that blocked it from view of the village below, meaning that they could practice Quidditch there, as long as they didn’t fly too high.",Harry Potter And The Chamber Of Secrets,330,unknown,4
Ron’S,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",Harry Potter And The Chamber Of Secrets,331,unknown,4
Shooting Star,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",Harry Potter And The Chamber Of Secrets,331,unknown,4
Harry’S Nimbus,"They took turns riding Harry’s Nimbus Two Thousand, which was easily the best broom; Ron’s old Shooting Star was often outstripped by passing butterflies.",Harry Potter And The Chamber Of Secrets,331,unknown,4
Head Boy,"If we’re not careful, we’ll have another Head Boy in the family.",Harry Potter And The Chamber Of Secrets,334,unknown,4
Bill,Bill was the oldest Weasley brother.,Harry Potter And The Chamber Of Secrets,335,unknown,4
Hogwarts,"He and the next brother, Charlie, had already left Hogwarts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Charlie,"He and the next brother, Charlie, had already left Hogwarts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Harry,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Gringotts,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Charlie,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Bill,"Harry had never met either of them, but knew that Charlie was in Romania studying dragons and Bill in Egypt working for the wizard’s bank, Gringotts.",Harry Potter And The Chamber Of Secrets,335,unknown,4
Gringotts,Stored in an underground vault at Gringotts in London was a small fortune that his parents had left him.,Harry Potter And The Chamber Of Secrets,337,unknown,4
Knuts,"Of course, it was only in the wizarding world that he had money; you couldn’t use Galleons, Sickles, and Knuts in Muggle shops.",Harry Potter And The Chamber Of Secrets,337,unknown,4
Weasley,Mrs. Weasley woke them all early the following Wednesday.,Harry Potter And The Chamber Of Secrets,338,unknown,4
Arthur,"“We’re running low, Arthur,” she sighed.",Harry Potter And The Chamber Of Secrets,339,unknown,4
Floo,"“Floo powder’s a lot quicker, dear, but goodness me, if you’ve never used it before —”",Harry Potter And The Chamber Of Secrets,343,unknown,4
Dudley,"“Dudley would think it was a brilliant joke if I got lost up a chimney, don’t worry about that —”",Harry Potter And The Chamber Of Secrets,352,unknown,4
Fred,“But don’t panic and get out too early; wait until you see Fred and George.”,Harry Potter And The Chamber Of Secrets,356,unknown,4
George,“But don’t panic and get out too early; wait until you see Fred and George.”,Harry Potter And The Chamber Of Secrets,356,unknown,4
