character,event_summary,book,paragraph_num,event_type,chapter_estimate,entities_mentioned
Mason,"When dinner’s over, you take Mrs. Mason back to the lounge for coffee, Petunia, and I’ll bring the subject around to drills.",Harry Potter And The Chamber Of Secrets,46,other,1,"Mason, Petunia"
Dursleys,He didn’t think the Dursleys would like him any better in Majorca than they did on Privet Drive.,Harry Potter And The Chamber Of Secrets,47,other,1,"Dursleys, Majorca"
Harry,"And you,” he snarled at Harry.",Harry Potter And The Chamber Of Secrets,48,other,1,Harry
Harry,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",Harry Potter And The Chamber Of Secrets,51,magic,1,"Harry, Ron, Hermione"
Ron,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",Harry Potter And The Chamber Of Secrets,51,magic,1,"Harry, Ron, Hermione"
Hogwarts,What wouldn’t he give now for a message from Hogwarts?,Harry Potter And The Chamber Of Secrets,52,other,1,Hogwarts
Hogwarts,Not that his whole year at Hogwarts had been fun.,Harry Potter And The Chamber Of Secrets,53,other,1,Hogwarts
Harry,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",Harry Potter And The Chamber Of Secrets,53,other,1,"Harry, Voldemort"
Voldemort,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",Harry Potter And The Chamber Of Secrets,53,other,1,"Harry, Voldemort"
Harry,Harry jumped to his feet just as a jeering voice floated across the lawn.,Harry Potter And The Chamber Of Secrets,55,other,1,Harry
Dudley,"“Today’s your birthday,” sneered Dudley.",Harry Potter And The Chamber Of Secrets,60,other,1,Dudley
Harry,"“Better not let your mum hear you talking about my school,” said Harry coolly.",Harry Potter And The Chamber Of Secrets,61,dialogue,1,Harry
Harry,"“I’m trying to decide what would be the best spell to set it on fire,” said Harry.",Harry Potter And The Chamber Of Secrets,64,dialogue,1,Harry
Dudley,"“MUUUUUUM!” howled Dudley, tripping over his feet as he dashed back toward the house.",Harry Potter And The Chamber Of Secrets,68,other,1,Dudley
Harry,Harry paid dearly for his moment of fun.,Harry Potter And The Chamber Of Secrets,69,other,1,Harry
Harry,"Harry, trying to say “Shh!” and look comforting at the same time, ushered Dobby back onto the bed where he sat hiccoughing, looking like a large and very ugly doll.",Harry Potter And The Chamber Of Secrets,93,other,1,"Harry, Dobby"
Dobby,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",Harry Potter And The Chamber Of Secrets,98,other,1,"Dobby, sir., Dobby"
Sir.,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",Harry Potter And The Chamber Of Secrets,98,other,1,"Dobby, sir., Dobby"
Dobby,"Dobby is always having to punish himself for something, sir.",Harry Potter And The Chamber Of Secrets,101,other,2,Dobby
Dursleys,“This makes the Dursleys sound almost human.,Harry Potter And The Chamber Of Secrets,103,other,2,Dursleys
Harry,"“Please,” Harry whispered frantically, “please be quiet.",Harry Potter And The Chamber Of Secrets,105,movement,2,Harry
Dursleys,"If the Dursleys hear anything, if they know you’re here —”",Harry Potter And The Chamber Of Secrets,105,other,2,Dursleys
Harry,"Harry, who was feeling distinctly hot in the face, said, “Whatever you’ve heard about my greatness is a load of rubbish.",Harry Potter And The Chamber Of Secrets,107,dialogue,2,Harry
Hermione,"But he stopped quickly, because thinking about Hermione was painful.",Harry Potter And The Chamber Of Secrets,108,other,2,Hermione
Ron,"Thinking about Ron was painful, too.",Harry Potter And The Chamber Of Secrets,112,other,2,Ron
Harry Potter,"“Dobby heard tell,” he said hoarsely, “that Harry Potter met the Dark Lord for a second time just weeks ago…that Harry Potter escaped yet again.”",Harry Potter And The Chamber Of Secrets,114,dialogue,2,"Harry Potter, Harry Potter"
Harry,Harry nodded and Dobby’s eyes suddenly shone with tears.,Harry Potter And The Chamber Of Secrets,115,emotional,2,"Harry, Dobby"
Harry Potter,“Harry Potter is valiant and bold!,Harry Potter And The Chamber Of Secrets,116,other,2,Harry Potter
Uncle Vernon’S,There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon’s voice.,Harry Potter And The Chamber Of Secrets,117,other,2,Uncle Vernon’s
Harry Potter,“Harry Potter must stay where he is safe.,Harry Potter And The Chamber Of Secrets,119,other,2,Harry Potter
Harry Potter,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",Harry Potter And The Chamber Of Secrets,119,other,2,"Harry Potter, Hogwarts"
Hogwarts,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",Harry Potter And The Chamber Of Secrets,119,other,2,"Harry Potter, Hogwarts"
Harry Potter,"“There is a plot, Harry Potter.",Harry Potter And The Chamber Of Secrets,120,other,2,Harry Potter
Harry Potter,Harry Potter must not put himself in peril.,Harry Potter And The Chamber Of Secrets,120,other,2,Harry Potter
Harry,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",Harry Potter And The Chamber Of Secrets,125,dialogue,2,"Hogwarts, Harry"
Hogwarts,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",Harry Potter And The Chamber Of Secrets,125,dialogue,2,"Hogwarts, Harry"
Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",Harry Potter And The Chamber Of Secrets,125,other,2,"’s Dumbledore, Dumbledore"
’S Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",Harry Potter And The Chamber Of Secrets,125,other,2,"’s Dumbledore, Dumbledore"
Hogwarts,“Albus Dumbledore is the greatest headmaster Hogwarts has ever had.,Harry Potter And The Chamber Of Secrets,126,other,2,Hogwarts
Dumbledore,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,Harry Potter And The Chamber Of Secrets,126,other,2,"Dobby, Dumbledore"
Dobby,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,Harry Potter And The Chamber Of Secrets,126,other,2,"Dobby, Dumbledore"
Harry,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,movement,2,"Harry, Uncle Vernon, Dudley"
Uncle Vernon,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,movement,2,"Harry, Uncle Vernon, Dudley"
Dudley,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",Harry Potter And The Chamber Of Secrets,128,movement,2,"Harry, Uncle Vernon, Dudley"
Hogwarts,“See why I’ve got to go back to Hogwarts?,Harry Potter And The Chamber Of Secrets,131,other,2,Hogwarts
Harry Potter,“Harry Potter mustn’t be angry with Dobby.,Harry Potter And The Chamber Of Secrets,134,emotional,2,"Harry Potter, Dobby"
Dobby,Dobby did it for the best —”,Harry Potter And The Chamber Of Secrets,134,other,2,
Dobby,"He made a grab for the letters, but Dobby jumped out of reach.",Harry Potter And The Chamber Of Secrets,137,other,2,Dobby
Harry Potter,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,other,2,"Harry Potter, Dobby, Hogwarts"
Dobby,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,other,2,"Harry Potter, Dobby, Hogwarts"
Hogwarts,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",Harry Potter And The Chamber Of Secrets,138,other,2,"Harry Potter, Dobby, Hogwarts"
Harry,"Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and sprinted down the stairs.",Harry Potter And The Chamber Of Secrets,141,other,2,"Harry, Dobby"
Harry,Harry ran up the hall into the kitchen and felt his stomach disappear.,Harry Potter And The Chamber Of Secrets,143,movement,2,Harry
Harry Potter,“Harry Potter must say he’s not going back to school —”,Harry Potter And The Chamber Of Secrets,145,other,2,Harry Potter
Harry Potter,"“Then Dobby must do it, sir, for Harry Potter’s own good.”",Harry Potter And The Chamber Of Secrets,146,other,2,Harry Potter
Uncle Vernon,"At first, it looked as though Uncle Vernon would manage to gloss the whole thing over.",Harry Potter And The Chamber Of Secrets,149,other,2,Uncle Vernon
Harry,"Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking, started scrubbing the kitchen clean.",Harry Potter And The Chamber Of Secrets,149,other,2,Harry
Uncle Vernon,Uncle Vernon might still have been able to make his deal — if it hadn’t been for the owl.,Harry Potter And The Chamber Of Secrets,150,other,2,Uncle Vernon
Mason,Mrs. Mason screamed like a banshee and ran from the house shouting about lunatics.,Harry Potter And The Chamber Of Secrets,151,movement,2,Mason
Harry,"He was bearing down on Harry like a great bulldog, all his teeth bared.",Harry Potter And The Chamber Of Secrets,159,other,2,Harry
Harry,"And laughing like a maniac, he dragged Harry back upstairs.",Harry Potter And The Chamber Of Secrets,160,other,2,Harry
Uncle Vernon,Uncle Vernon was as bad as his word.,Harry Potter And The Chamber Of Secrets,161,other,2,Uncle Vernon
Harry,They let Harry out to use the bathroom morning and evening.,Harry Potter And The Chamber Of Secrets,161,other,2,Harry
Harry,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",Harry Potter And The Chamber Of Secrets,162,other,2,"Dursleys, Harry"
Dursleys,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",Harry Potter And The Chamber Of Secrets,162,other,2,"Dursleys, Harry"
Hogwarts,What was the good of magicking himself out of his room if Hogwarts would expel him for doing it?,Harry Potter And The Chamber Of Secrets,163,magic,2,Hogwarts
Dursleys,"Now that the Dursleys knew they weren’t going to wake up as fruit bats, he had lost his only weapon.",Harry Potter And The Chamber Of Secrets,163,other,2,Dursleys
Harry,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",Harry Potter And The Chamber Of Secrets,163,death,2,"Harry, Hogwarts"
Hogwarts,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",Harry Potter And The Chamber Of Secrets,163,death,2,"Harry, Hogwarts"
Harry,"“It’s no good turning your beak up at it — that’s all we’ve got,” said Harry grimly.",Harry Potter And The Chamber Of Secrets,165,dialogue,2,Harry
Hogwarts,"Supposing he was still alive in another four weeks, hat would happen if he didn’t turn up at Hogwarts?",Harry Potter And The Chamber Of Secrets,167,other,2,Hogwarts
Dursleys,Would they be able to make the Dursleys let him go?,Harry Potter And The Chamber Of Secrets,167,other,2,Dursleys
Ron,“What’s been going on?” said Ron.,Harry Potter And The Chamber Of Secrets,174,dialogue,2,Ron
Dad,"I’ve asked you to stay about twelve times, and then Dad came home and said you’d got an official warning for using magic in front of Muggles —”",Harry Potter And The Chamber Of Secrets,174,movement,2,Dad
Ron,"“He works for the Ministry,” said Ron.",Harry Potter And The Chamber Of Secrets,175,dialogue,2,Ron
Harry,"Harry moved back into the shadows next to Hedwig, who seemed to have realized how important this was and kept still and silent.",Harry Potter And The Chamber Of Secrets,183,discovery,2,Harry
Fred,"The car revved louder and louder and suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred drove straight up in the air.",Harry Potter And The Chamber Of Secrets,183,other,2,Fred
Fred,"“A lot of wizards think it’s a waste of time, knowing this sort of Muggle trick,” said Fred, “but we feel they’re skills worth learning, even if they are a bit slow.”",Harry Potter And The Chamber Of Secrets,189,dialogue,2,Fred
Harry,"“Watch out for the bottom stair — it creaks,” Harry whispered back as the twins disappeared onto the dark landing.",Harry Potter And The Chamber Of Secrets,191,other,2,Harry
Uncle Vernon,Harry heard Uncle Vernon cough.,Harry Potter And The Chamber Of Secrets,192,other,2,"Harry, Uncle Vernon"
Fred,"“Put your foot down, Fred!”",Harry Potter And The Chamber Of Secrets,202,other,3,Fred
Harry,"Harry told them all about Dobby, the warning he’d given Harry and the fiasco of the violet pudding.",Harry Potter And The Chamber Of Secrets,208,other,3,"Harry, Dobby, Harry"
George,“Definitely dodgy” agreed George.,Harry Potter And The Chamber Of Secrets,209,other,3,George
Fred,"“Well,” said Fred, “put it this way — house-elves have got powerful magic of their own, but they can’t usually use it without their master’s permission.",Harry Potter And The Chamber Of Secrets,211,dialogue,3,Fred
Dobby,I reckon old Dobby was sent to stop you coming back to Hogwarts.,Harry Potter And The Chamber Of Secrets,211,other,3,"Dobby, Hogwarts"
Hogwarts,I reckon old Dobby was sent to stop you coming back to Hogwarts.,Harry Potter And The Chamber Of Secrets,211,other,3,"Dobby, Hogwarts"
Harry,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",Harry Potter And The Chamber Of Secrets,216,other,3,"Harry, Malfoy"
Malfoy,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",Harry Potter And The Chamber Of Secrets,216,other,3,"Harry, Malfoy"
Malfoy,"Judging by the fact that Draco Malfoy usually had the best of everything, his family was rolling in wizard gold; he could just see Malfoy strutting around a large manor house.",Harry Potter And The Chamber Of Secrets,220,other,3,"Draco Malfoy, Malfoy"
Harry,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,other,3,"Harry, Hogwarts, Malfoy"
Hogwarts,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,other,3,"Harry, Hogwarts, Malfoy"
Malfoy,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,Harry Potter And The Chamber Of Secrets,220,other,3,"Harry, Hogwarts, Malfoy"
Harry,Had Harry been stupid to take Dobby seriously?,Harry Potter And The Chamber Of Secrets,220,other,3,"Harry, Dobby"
Dobby,Had Harry been stupid to take Dobby seriously?,Harry Potter And The Chamber Of Secrets,220,other,3,"Harry, Dobby"
Harry,"“So, does your dad know you’ve got the car?” said Harry, guessing the answer.",Harry Potter And The Chamber Of Secrets,226,dialogue,3,Harry
Ron,"“Er, no,” said Ron, “he had to work tonight.",Harry Potter And The Chamber Of Secrets,227,dialogue,3,Ron
Mum,Hopefully we’ll be able to get it back in the garage without Mum noticing we flew it.”,Harry Potter And The Chamber Of Secrets,227,other,3,Mum
Ron,"“He works in the most boring department,” said Ron.",Harry Potter And The Chamber Of Secrets,229,dialogue,3,Ron
Dad,It was a nightmare — Dad was working overtime for weeks.”,Harry Potter And The Chamber Of Secrets,230,other,3,Dad
George,"“That’s the main road,” said George, peering down through the windshield.",Harry Potter And The Chamber Of Secrets,233,dialogue,3,George
Harry,"Fred brought the car lower, and Harry saw a dark patchwork of fields and clumps of trees.",Harry Potter And The Chamber Of Secrets,235,other,3,Harry
Weasley,"Mrs. Weasley was marching across the yard, scattering chickens, and for a short, plump, kind-faced woman, it was remarkable how much she looked like a saber-toothed tiger.",Harry Potter And The Chamber Of Secrets,244,other,3,Weasley
Mum,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",Harry Potter And The Chamber Of Secrets,246,dialogue,3,"Mum, George"
George,"“Morning, Mum,” said George, in what he clearly thought was a jaunty, winning voice.",Harry Potter And The Chamber Of Secrets,246,dialogue,3,"Mum, George"
Weasley,“Have you any idea how worried I’ve been?” said Mrs. Weasley in a deadly whisper.,Harry Potter And The Chamber Of Secrets,247,dialogue,3,Weasley
Weasley,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",Harry Potter And The Chamber Of Secrets,250,other,3,"PERCY, Weasley, Fred"
Percy,"“YOU COULD DO WITH TAKING A LEAF OUT OF PERCY’S BOOK!” yelled Mrs. Weasley, prodding a finger in Fred’s chest.",Harry Potter And The Chamber Of Secrets,250,other,3,"PERCY, Weasley, Fred"
Harry,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",Harry Potter And The Chamber Of Secrets,251,other,3,"Weasley, Harry"
Weasley,"Mrs. Weasley had shouted herself hoarse before she turned on Harry, who backed away.",Harry Potter And The Chamber Of Secrets,251,other,3,"Weasley, Harry"
Ron,Just last night we were saying we’d come and get you ourselves if you hadn’t written back to Ron by Friday.,Harry Potter And The Chamber Of Secrets,257,other,3,Ron
Lockhart’S,"“Now, let’s see what Lockhart’s got to say on the subject —”",Harry Potter And The Chamber Of Secrets,268,other,3,"’s, Lockhart’s"
Gilderoy Lockhart’S Guide,Written across it in fancy gold letters were the words Gilderoy Lockhart’s Guide to Household Pests.,Harry Potter And The Chamber Of Secrets,270,other,3,Gilderoy Lockhart’s Guide
Harry,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",Harry Potter And The Chamber Of Secrets,270,other,3,"Harry, Gilderoy Lockhart"
Gilderoy Lockhart,"As always in the wizarding world, the photograph was moving; the wizard, who Harry supposed was Gilderoy Lockhart, kept winking cheekily up at them all.",Harry Potter And The Chamber Of Secrets,270,other,3,"Harry, Gilderoy Lockhart"
Weasley,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",Harry Potter And The Chamber Of Secrets,273,dialogue,3,"Fred, Weasley"
Fred,"“Don’t be so ridiculous, Fred,” said Mrs. Weasley, her cheeks rather pink.",Harry Potter And The Chamber Of Secrets,273,dialogue,3,"Fred, Weasley"
Harry,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",Harry Potter And The Chamber Of Secrets,274,other,3,"Weasleys, Harry"
Weasleys,"Yawning and grumbling, the Weasleys slouched outside with Harry behind them.",Harry Potter And The Chamber Of Secrets,274,other,3,"Weasleys, Harry"
Harry,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",Harry Potter And The Chamber Of Secrets,274,other,3,"Dursleys, Harry"
Dursleys,"The Dursleys wouldn’t have liked it — there were plenty of weeds, and the grass needed cutting — but there were gnarled trees all around the walls, plants Harry had never seen spilling from every flower bed, and a big green pond full of frogs.",Harry Potter And The Chamber Of Secrets,274,other,3,"Dursleys, Harry"
Harry,Harry learned quickly not to feel too sorry for the gnomes.,Harry Potter And The Chamber Of Secrets,282,discovery,3,Harry
George,"“See, they’re not too bright,” said George, seizing five or six gnomes at once.",Harry Potter And The Chamber Of Secrets,283,dialogue,3,George
Mundungus Fletcher,And old Mundungus Fletcher tried to put a hex on me when I had my back turned.…”,Harry Potter And The Chamber Of Secrets,288,other,3,Mundungus Fletcher
Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",Harry Potter And The Chamber Of Secrets,295,other,3,"Arthur Weasley, Weasley"
Arthur Weasley,"“Arthur Weasley, you made sure there was a loophole when you wrote that law!” shouted Mrs. Weasley.",Harry Potter And The Chamber Of Secrets,295,other,3,"Arthur Weasley, Weasley"
Harry,"And for your information, Harry arrived this morning in the car you weren’t intending to fly!”",Harry Potter And The Chamber Of Secrets,295,movement,3,Harry
Weasley,"I mean,” he faltered as sparks flew from Mrs. Weasley’s eyes, “that — that was very wrong, boys — very wrong indeed.",Harry Potter And The Chamber Of Secrets,298,other,3,Weasley
Ronald,"They climbed two more flights until they reached a door with peeling paint and a small plaque on it, saying RONALD’S ROOM .",Harry Potter And The Chamber Of Secrets,302,other,4,RONALD
Martin Miggs,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",Harry Potter And The Chamber Of Secrets,305,magic,4,"Ron’s, Martin Miggs"
Ron’S,"Ron’s school spellbooks were stacked untidily in a corner, next to a pile of comics that all seemed to feature The Adventures of Martin Miggs, the Mad Muggle.",Harry Potter And The Chamber Of Secrets,305,magic,4,"Ron’s, Martin Miggs"
Ron,"“It’s a bit small,” said Ron quickly.",Harry Potter And The Chamber Of Secrets,307,dialogue,4,Ron
Burrow,L ife at the Burrow was as different as possible from life on Privet Drive.,Harry Potter And The Chamber Of Secrets,309,other,4,Burrow
Weasley,Mrs. Weasley fussed over the state of his socks and tried to force him to eat fourth helpings at every meal.,Harry Potter And The Chamber Of Secrets,310,other,4,Weasley
Harry,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",Harry Potter And The Chamber Of Secrets,310,other,4,"Weasley, Harry"
Weasley,"Mr. Weasley liked Harry to sit next to him at the dinner table so that he could bombard him with questions about life with Muggles, asking him to explain how things like plugs and the postal service worked.",Harry Potter And The Chamber Of Secrets,310,other,4,"Weasley, Harry"
Harry,he would say as Harry talked him through using a telephone.,Harry Potter And The Chamber Of Secrets,311,other,4,Harry
Harry,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,Harry Potter And The Chamber Of Secrets,312,movement,4,"Harry, Hogwarts, Burrow"
Hogwarts,Harry heard from Hogwarts one sunny morning about a week after he had arrived at the Burrow.,Harry Potter And The Chamber Of Secrets,312,movement,4,"Harry, Hogwarts, Burrow"
Ginny,Ginny seemed very prone to knocking things over whenever Harry entered a room.,Harry Potter And The Chamber Of Secrets,312,movement,4,Harry
Harry,Ginny seemed very prone to knocking things over whenever Harry entered a room.,Harry Potter And The Chamber Of Secrets,312,movement,4,Harry
Harry,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",Harry Potter And The Chamber Of Secrets,313,other,4,"Dumbledore, Harry"
Dumbledore,"“Dumbledore already knows you’re here, Harry — doesn’t miss a trick, that man.",Harry Potter And The Chamber Of Secrets,313,other,4,"Dumbledore, Harry"
The Hogwarts Express,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,Harry Potter And The Chamber Of Secrets,314,other,4,"Harry’s, the Hogwarts Express, King’s Cross"
Harry’S,Harry’s told him to catch the Hogwarts Express as usual from King’s Cross station on September first.,Harry Potter And The Chamber Of Secrets,314,other,4,"Harry’s, the Hogwarts Express, King’s Cross"
Ginny,“I expect we’ll be able to pick up a lot of Ginny’s things secondhand.”,Harry Potter And The Chamber Of Secrets,320,other,4,Ginny
Harry,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",Harry Potter And The Chamber Of Secrets,326,other,4,"Ron, Harry"
Ron,"and that you didn’t do anything illegal to get him out, Ron, because that would get Harry into trouble, too.",Harry Potter And The Chamber Of Secrets,326,other,4,"Ron, Harry"
Weasleys,"Harry, Ron, Fred, and George were planning to go up the hill to a small paddock the Weasleys owned.",Harry Potter And The Chamber Of Secrets,330,other,4,"Harry, Ron, Fred, George, Weasleys"
